number of parameters: 81.81M
iter 0: loss 8.815082550048828, loss_a 8.819798469543457, loss_b 8.804180145263672, lr 1.188118811881188e-05
iter 850: loss 1.1181162595748901, loss_a 0.8329077363014221, loss_b 1.7855796813964844, lr 0.0005999979118816772
iter 860: loss 1.1807628870010376, loss_a 0.8947043418884277, loss_b 1.9511183500289917, lr 0.0005999978559025083
iter 870: loss 1.0558559894561768, loss_a 0.7879138588905334, loss_b 1.7454800605773926, lr 0.0005999977991828781
iter 880: loss 1.133375644683838, loss_a 0.8522811532020569, loss_b 1.8511862754821777, lr 0.0005999977417227868
iter 890: loss 1.1020444631576538, loss_a 0.8611666560173035, loss_b 1.7033648490905762, lr 0.0005999976835222346
iter 900: loss 1.0990780591964722, loss_a 0.8260021805763245, loss_b 1.7779330015182495, lr 0.0005999976245812216
iter 910: loss 1.101572036743164, loss_a 0.8288828730583191, loss_b 1.8084352016448975, lr 0.000599997564899748
iter 920: loss 1.107801079750061, loss_a 0.8390211462974548, loss_b 1.8553358316421509, lr 0.000599997504477814
iter 930: loss 1.096294641494751, loss_a 0.8564147353172302, loss_b 1.6594783067703247, lr 0.0005999974433154195
iter 940: loss 1.154919981956482, loss_a 0.8945983648300171, loss_b 1.7889384031295776, lr 0.0005999973814125652
iter 950: loss 1.0856680870056152, loss_a 0.8478584885597229, loss_b 1.6507173776626587, lr 0.0005999973187692507
iter 960: loss 1.1115875244140625, loss_a 0.8647543787956238, loss_b 1.685894250869751, lr 0.0005999972553854764
iter 970: loss 1.110569715499878, loss_a 0.827685534954071, loss_b 1.8989379405975342, lr 0.0005999971912612427
iter 980: loss 1.0773406028747559, loss_a 0.7776944637298584, loss_b 1.8645668029785156, lr 0.0005999971263965495
iter 990: loss 1.1084306240081787, loss_a 0.8191720247268677, loss_b 1.859156847000122, lr 0.000599997060791397
iter 1000: loss 1.099334955215454, loss_a 0.8521568775177002, loss_b 1.730535864830017, lr 0.0005999969944457855
iter 1010: loss 1.1393933296203613, loss_a 0.8467921018600464, loss_b 1.9098764657974243, lr 0.000599996927359715
iter 1020: loss 1.1024863719940186, loss_a 0.8614441752433777, loss_b 1.6806172132492065, lr 0.0005999968595331858
iter 1030: loss 1.1578190326690674, loss_a 0.8766845464706421, loss_b 1.8794294595718384, lr 0.0005999967909661981
iter 1040: loss 1.052255392074585, loss_a 0.7946728467941284, loss_b 1.66009521484375, lr 0.0005999967216587522
iter 1050: loss 1.0731245279312134, loss_a 0.7976436614990234, loss_b 1.799303412437439, lr 0.000599996651610848
iter 1060: loss 1.139262318611145, loss_a 0.8609206676483154, loss_b 1.939017415046692, lr 0.0005999965808224859
iter 1070: loss 1.068596601486206, loss_a 0.8031716346740723, loss_b 1.731988549232483, lr 0.000599996509293666
iter 1080: loss 1.1084994077682495, loss_a 0.8406262993812561, loss_b 1.819512128829956, lr 0.0005999964370243888
iter 1090: loss 1.089686393737793, loss_a 0.8100127577781677, loss_b 1.8154265880584717, lr 0.0005999963640146539
iter 1100: loss 1.0678293704986572, loss_a 0.8120473623275757, loss_b 1.7176618576049805, lr 0.000599996290264462
iter 1110: loss 1.0918629169464111, loss_a 0.8195028305053711, loss_b 1.7955195903778076, lr 0.0005999962157738131
iter 1120: loss 1.0537712574005127, loss_a 0.776576578617096, loss_b 1.6663799285888672, lr 0.0005999961405427075
iter 1130: loss 1.1067633628845215, loss_a 0.8199886083602905, loss_b 1.8943036794662476, lr 0.0005999960645711453
iter 1140: loss 1.0556637048721313, loss_a 0.7626482248306274, loss_b 1.8315038681030273, lr 0.0005999959878591268
iter 1150: loss 1.1183347702026367, loss_a 0.8278775811195374, loss_b 1.9621524810791016, lr 0.0005999959104066522
iter 1160: loss 1.0474703311920166, loss_a 0.7773179411888123, loss_b 1.7244985103607178, lr 0.0005999958322137216
iter 1170: loss 1.0717058181762695, loss_a 0.8024702668190002, loss_b 1.7607920169830322, lr 0.0005999957532803353
iter 1180: loss 1.0770184993743896, loss_a 0.8199884295463562, loss_b 1.709549069404602, lr 0.0005999956736064936
iter 1190: loss 1.0485591888427734, loss_a 0.7651210427284241, loss_b 1.8065768480300903, lr 0.0005999955931921966
iter 1200: loss 1.0572561025619507, loss_a 0.7771722674369812, loss_b 1.7646682262420654, lr 0.0005999955120374445
iter 1210: loss 1.001719355583191, loss_a 0.7320765256881714, loss_b 1.729216456413269, lr 0.0005999954301422376
iter 1220: loss 1.120607852935791, loss_a 0.8509227633476257, loss_b 1.876339077949524, lr 0.0005999953475065761
iter 1230: loss 1.0581660270690918, loss_a 0.7739951610565186, loss_b 1.8010972738265991, lr 0.0005999952641304603
iter 1240: loss 1.0357047319412231, loss_a 0.7932599782943726, loss_b 1.6296916007995605, lr 0.0005999951800138903
iter 1250: loss 1.009197473526001, loss_a 0.7638432383537292, loss_b 1.574548602104187, lr 0.0005999950951568663
iter 1260: loss 1.0475594997406006, loss_a 0.7915549874305725, loss_b 1.6785036325454712, lr 0.0005999950095593887
iter 1270: loss 1.1415245532989502, loss_a 0.839982271194458, loss_b 2.065448760986328, lr 0.0005999949232214577
iter 1280: loss 1.099608063697815, loss_a 0.8507106304168701, loss_b 1.695003628730774, lr 0.0005999948361430735
iter 1290: loss 1.0625410079956055, loss_a 0.7960988879203796, loss_b 1.786207675933838, lr 0.0005999947483242362
iter 1300: loss 1.1009738445281982, loss_a 0.864961564540863, loss_b 1.649705171585083, lr 0.0005999946597649463
iter 1310: loss 1.0218843221664429, loss_a 0.7387239933013916, loss_b 1.7834933996200562, lr 0.0005999945704652039
iter 1320: loss 1.0189605951309204, loss_a 0.7554221749305725, loss_b 1.6164019107818604, lr 0.0005999944804250092
iter 1330: loss 1.034916639328003, loss_a 0.8226296305656433, loss_b 1.5170018672943115, lr 0.0005999943896443625
iter 1340: loss 1.071553349494934, loss_a 0.7752832174301147, loss_b 1.9491864442825317, lr 0.0005999942981232641
iter 1350: loss 1.0315361022949219, loss_a 0.7545053958892822, loss_b 1.8008105754852295, lr 0.0005999942058617141
iter 1360: loss 1.0566339492797852, loss_a 0.7647770643234253, loss_b 1.8094043731689453, lr 0.000599994112859713
iter 1370: loss 1.048964262008667, loss_a 0.7949070930480957, loss_b 1.6473486423492432, lr 0.0005999940191172608
iter 1380: loss 1.0561323165893555, loss_a 0.7629820108413696, loss_b 1.8575520515441895, lr 0.000599993924634358
iter 1390: loss 0.9781479835510254, loss_a 0.726352334022522, loss_b 1.608512282371521, lr 0.0005999938294110047
iter 1400: loss 1.0470257997512817, loss_a 0.7748321294784546, loss_b 1.759513258934021, lr 0.0005999937334472011
iter 1410: loss 1.0699583292007446, loss_a 0.7643899917602539, loss_b 1.9680038690567017, lr 0.0005999936367429476
iter 1420: loss 1.0539062023162842, loss_a 0.7812110781669617, loss_b 1.7870277166366577, lr 0.0005999935392982445
iter 1430: loss 1.0421624183654785, loss_a 0.803667426109314, loss_b 1.6258667707443237, lr 0.0005999934411130919
iter 1440: loss 1.0170241594314575, loss_a 0.7690883278846741, loss_b 1.6495866775512695, lr 0.0005999933421874901
iter 1450: loss 1.0137484073638916, loss_a 0.7424764633178711, loss_b 1.7011733055114746, lr 0.0005999932425214395
iter 1460: loss 1.0825475454330444, loss_a 0.8078938722610474, loss_b 1.834922432899475, lr 0.0005999931421149403
iter 1470: loss 0.9672133922576904, loss_a 0.7327151298522949, loss_b 1.5273419618606567, lr 0.0005999930409679927
iter 1480: loss 1.0163761377334595, loss_a 0.7648355960845947, loss_b 1.6860921382904053, lr 0.0005999929390805972
iter 1490: loss 0.9491369128227234, loss_a 0.727690577507019, loss_b 1.4066795110702515, lr 0.0005999928364527539
iter 1500: loss 1.0095304250717163, loss_a 0.765814483165741, loss_b 1.5493019819259644, lr 0.0005999927330844631
iter 1510: loss 1.029252052307129, loss_a 0.7294792532920837, loss_b 1.9053179025650024, lr 0.000599992628975725
iter 1520: loss 1.0044760704040527, loss_a 0.7653661966323853, loss_b 1.5741143226623535, lr 0.00059999252412654
iter 1530: loss 1.0045175552368164, loss_a 0.7223210334777832, loss_b 1.78142249584198, lr 0.0005999924185369085
iter 1540: loss 0.9956401586532593, loss_a 0.7211319804191589, loss_b 1.806970238685608, lr 0.0005999923122068305
iter 1550: loss 1.0553195476531982, loss_a 0.7626538276672363, loss_b 1.885349988937378, lr 0.0005999922051363065
iter 1560: loss 0.9997484683990479, loss_a 0.7567250728607178, loss_b 1.5929522514343262, lr 0.0005999920973253368
iter 1570: loss 1.0795316696166992, loss_a 0.8067713379859924, loss_b 1.811471700668335, lr 0.0005999919887739217
iter 1580: loss 1.0195611715316772, loss_a 0.7599276304244995, loss_b 1.6198095083236694, lr 0.0005999918794820614
iter 1590: loss 1.0716297626495361, loss_a 0.774171769618988, loss_b 1.903354525566101, lr 0.0005999917694497561
iter 1600: loss 1.0097815990447998, loss_a 0.7610786557197571, loss_b 1.670215129852295, lr 0.0005999916586770064
iter 1610: loss 1.0334298610687256, loss_a 0.7742195129394531, loss_b 1.7397537231445312, lr 0.0005999915471638123
iter 1620: loss 1.034158706665039, loss_a 0.7344930768013, loss_b 1.8117769956588745, lr 0.0005999914349101744
iter 1630: loss 0.9955304861068726, loss_a 0.7212239503860474, loss_b 1.7343528270721436, lr 0.0005999913219160928
iter 1640: loss 0.982441246509552, loss_a 0.7275379300117493, loss_b 1.5980615615844727, lr 0.0005999912081815678
iter 1650: loss 1.054481863975525, loss_a 0.7623510360717773, loss_b 1.8227856159210205, lr 0.0005999910937065999
iter 1660: loss 1.0051095485687256, loss_a 0.7340472936630249, loss_b 1.7181119918823242, lr 0.0005999909784911892
iter 1670: loss 1.024294137954712, loss_a 0.7265462279319763, loss_b 1.7578996419906616, lr 0.0005999908625353361
iter 1680: loss 0.998557448387146, loss_a 0.7469687461853027, loss_b 1.6797653436660767, lr 0.000599990745839041
iter 1690: loss 1.046539306640625, loss_a 0.7598909735679626, loss_b 1.8529776334762573, lr 0.0005999906284023042
iter 1700: loss 1.0545454025268555, loss_a 0.7778898477554321, loss_b 1.7331528663635254, lr 0.0005999905102251258
iter 1710: loss 1.0324113368988037, loss_a 0.7523986101150513, loss_b 1.7083745002746582, lr 0.0005999903913075064
iter 1720: loss 1.0447756052017212, loss_a 0.7615806460380554, loss_b 1.7756484746932983, lr 0.0005999902716494462
iter 1730: loss 1.015380620956421, loss_a 0.7440810203552246, loss_b 1.7051565647125244, lr 0.0005999901512509456
iter 1740: loss 1.0019252300262451, loss_a 0.7214860916137695, loss_b 1.7453782558441162, lr 0.0005999900301120048
iter 1750: loss 1.0341904163360596, loss_a 0.7217105627059937, loss_b 1.995577096939087, lr 0.0005999899082326242
iter 1760: loss 0.9495264291763306, loss_a 0.69051194190979, loss_b 1.6026437282562256, lr 0.0005999897856128042
iter 1770: loss 1.0465712547302246, loss_a 0.7642118334770203, loss_b 1.809911847114563, lr 0.0005999896622525451
iter 1780: loss 1.0055224895477295, loss_a 0.74489426612854, loss_b 1.6824579238891602, lr 0.0005999895381518472
iter 1790: loss 1.0161058902740479, loss_a 0.744638979434967, loss_b 1.7439006567001343, lr 0.0005999894133107108
iter 1800: loss 1.0043234825134277, loss_a 0.7143447995185852, loss_b 1.7161390781402588, lr 0.0005999892877291363
iter 1810: loss 1.021763563156128, loss_a 0.7383522987365723, loss_b 1.731701374053955, lr 0.0005999891614071241
iter 1820: loss 1.0586038827896118, loss_a 0.7609313726425171, loss_b 1.9347138404846191, lr 0.0005999890343446746
iter 1830: loss 0.9869176149368286, loss_a 0.7447687387466431, loss_b 1.5313202142715454, lr 0.0005999889065417878
iter 1840: loss 1.005840539932251, loss_a 0.7296549677848816, loss_b 1.730102777481079, lr 0.0005999887779984645
iter 1850: loss 0.9629065990447998, loss_a 0.684762179851532, loss_b 1.6777065992355347, lr 0.0005999886487147047
iter 1860: loss 1.016385793685913, loss_a 0.7564243078231812, loss_b 1.6693401336669922, lr 0.0005999885186905089
iter 1870: loss 0.9856501221656799, loss_a 0.7430261969566345, loss_b 1.5353623628616333, lr 0.0005999883879258776
iter 1880: loss 1.0397716760635376, loss_a 0.7471994757652283, loss_b 1.861967921257019, lr 0.0005999882564208109
iter 1890: loss 1.025280237197876, loss_a 0.7682617902755737, loss_b 1.6673738956451416, lr 0.0005999881241753093
iter 1900: loss 1.0643713474273682, loss_a 0.756132960319519, loss_b 1.9444106817245483, lr 0.0005999879911893732
iter 1910: loss 1.001979112625122, loss_a 0.739160418510437, loss_b 1.683463215827942, lr 0.0005999878574630027
iter 1920: loss 1.022111415863037, loss_a 0.7483544945716858, loss_b 1.7455164194107056, lr 0.0005999877229961986
iter 1930: loss 1.01145601272583, loss_a 0.7375515699386597, loss_b 1.8404396772384644, lr 0.000599987587788961
iter 1940: loss 0.9133042693138123, loss_a 0.6522619128227234, loss_b 1.5724248886108398, lr 0.0005999874518412901
iter 1950: loss 1.0310325622558594, loss_a 0.7678076028823853, loss_b 1.6923816204071045, lr 0.0005999873151531867
iter 1960: loss 0.9874880313873291, loss_a 0.7256852388381958, loss_b 1.593892216682434, lr 0.0005999871777246509
iter 1970: loss 0.9165681600570679, loss_a 0.6840613484382629, loss_b 1.468047857284546, lr 0.0005999870395556831
iter 1980: loss 1.057591438293457, loss_a 0.7605633735656738, loss_b 1.848780632019043, lr 0.0005999869006462838
iter 1990: loss 1.049857258796692, loss_a 0.7740866541862488, loss_b 1.8045861721038818, lr 0.0005999867609964532
iter 2000: loss 0.9886828660964966, loss_a 0.7304120659828186, loss_b 1.621443748474121, lr 0.0005999866206061918
iter 2010: loss 0.9810388088226318, loss_a 0.7063918113708496, loss_b 1.7415461540222168, lr 0.0005999864794754999
iter 2020: loss 0.9717383980751038, loss_a 0.7177202701568604, loss_b 1.5807234048843384, lr 0.0005999863376043781
iter 2030: loss 1.0229816436767578, loss_a 0.7527687549591064, loss_b 1.7154055833816528, lr 0.0005999861949928265
iter 2040: loss 0.9536640644073486, loss_a 0.6810205578804016, loss_b 1.6133919954299927, lr 0.0005999860516408457
iter 2050: loss 0.9939794540405273, loss_a 0.7391316294670105, loss_b 1.5902173519134521, lr 0.0005999859075484361
iter 2060: loss 0.972511887550354, loss_a 0.7109082341194153, loss_b 1.6114468574523926, lr 0.0005999857627155979
iter 2070: loss 0.9783143401145935, loss_a 0.707433819770813, loss_b 1.6404950618743896, lr 0.0005999856171423316
iter 2080: loss 0.9969285726547241, loss_a 0.7091251611709595, loss_b 1.7854481935501099, lr 0.0005999854708286376
iter 2090: loss 0.9748988151550293, loss_a 0.7033795118331909, loss_b 1.6373648643493652, lr 0.0005999853237745163
iter 2100: loss 1.0214495658874512, loss_a 0.7227090001106262, loss_b 1.7657700777053833, lr 0.0005999851759799683
iter 2110: loss 0.9970090389251709, loss_a 0.7156508564949036, loss_b 1.750624656677246, lr 0.0005999850274449937
iter 2120: loss 0.933373212814331, loss_a 0.6657763719558716, loss_b 1.585303783416748, lr 0.000599984878169593
iter 2130: loss 1.0046172142028809, loss_a 0.7170324325561523, loss_b 1.7396669387817383, lr 0.0005999847281537667
iter 2140: loss 0.9856573939323425, loss_a 0.7273644208908081, loss_b 1.6830717325210571, lr 0.0005999845773975151
iter 2150: loss 0.9905400276184082, loss_a 0.7157241702079773, loss_b 1.6988211870193481, lr 0.0005999844259008387
iter 2160: loss 0.9628055095672607, loss_a 0.696327805519104, loss_b 1.6495966911315918, lr 0.0005999842736637379
iter 2170: loss 1.0349774360656738, loss_a 0.7771987915039062, loss_b 1.633360505104065, lr 0.000599984120686213
iter 2180: loss 0.9362565279006958, loss_a 0.6761021614074707, loss_b 1.5326875448226929, lr 0.0005999839669682646
iter 2190: loss 0.9361358284950256, loss_a 0.6909992098808289, loss_b 1.5501967668533325, lr 0.0005999838125098929
iter 2200: loss 0.9800634384155273, loss_a 0.709498405456543, loss_b 1.6830215454101562, lr 0.0005999836573110987
iter 2210: loss 0.995810866355896, loss_a 0.7236534953117371, loss_b 1.663880467414856, lr 0.0005999835013718821
iter 2220: loss 0.91754150390625, loss_a 0.6592341065406799, loss_b 1.5001895427703857, lr 0.0005999833446922435
iter 2230: loss 1.0092538595199585, loss_a 0.727016806602478, loss_b 1.7807188034057617, lr 0.0005999831872721836
iter 2240: loss 0.9817771315574646, loss_a 0.6943508982658386, loss_b 1.7414195537567139, lr 0.0005999830291117025
iter 2250: loss 0.9549972414970398, loss_a 0.6764688491821289, loss_b 1.6057854890823364, lr 0.000599982870210801
iter 2260: loss 1.0036598443984985, loss_a 0.7370428442955017, loss_b 1.6976262331008911, lr 0.0005999827105694792
iter 2270: loss 0.9319225549697876, loss_a 0.6722158789634705, loss_b 1.6141163110733032, lr 0.0005999825501877378
iter 2280: loss 0.9731773138046265, loss_a 0.725472629070282, loss_b 1.5899721384048462, lr 0.0005999823890655769
iter 2290: loss 0.978281557559967, loss_a 0.7078945636749268, loss_b 1.7520948648452759, lr 0.0005999822272029974
iter 2300: loss 0.954063892364502, loss_a 0.7170451879501343, loss_b 1.576185703277588, lr 0.0005999820645999995
iter 2310: loss 0.9361164569854736, loss_a 0.7011247277259827, loss_b 1.5231821537017822, lr 0.0005999819012565837
iter 2320: loss 0.9598104953765869, loss_a 0.7099181413650513, loss_b 1.5723166465759277, lr 0.0005999817371727502
iter 2330: loss 0.900466799736023, loss_a 0.668731689453125, loss_b 1.4252068996429443, lr 0.0005999815723484997
iter 2340: loss 1.0115705728530884, loss_a 0.7017954587936401, loss_b 1.9333792924880981, lr 0.0005999814067838327
iter 2350: loss 0.9511316418647766, loss_a 0.6836540102958679, loss_b 1.6463853120803833, lr 0.0005999812404787496
iter 2360: loss 0.9884658455848694, loss_a 0.7238628268241882, loss_b 1.7376021146774292, lr 0.0005999810734332507
iter 2370: loss 0.9873117804527283, loss_a 0.7207313179969788, loss_b 1.6246331930160522, lr 0.0005999809056473366
iter 2380: loss 0.9375790357589722, loss_a 0.6740965843200684, loss_b 1.5547362565994263, lr 0.0005999807371210077
iter 2390: loss 1.0016359090805054, loss_a 0.7230350375175476, loss_b 1.8034130334854126, lr 0.0005999805678542645
iter 2400: loss 0.9102709293365479, loss_a 0.6667079925537109, loss_b 1.5028599500656128, lr 0.0005999803978471075
